,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,fuel-type-diesel,fuel-type-gas,aspiration-type-std,aspiration-type-turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245268,-0.8513345559782859,-2.029014503258066,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,13495.0,0,1,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245268,-0.8513345559782859,-2.029014503258066,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,16500.0,0,1,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,-0.2435442608467981,-0.18513448909204067,-0.5583194270710262,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,9.038461538461538,16500.0,0,1,1,0
3,2,164,audi,four,sedan,fwd,front,99.8,0.19469005732809616,0.14796554435108197,0.21788075202768845,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,7.833333333333333,13950.0,0,1,1,0
4,2,164,audi,four,sedan,4wd,front,99.4,0.19469005732809616,0.24313698247768942,0.21788075202768845,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,10.681818181818182,17450.0,0,1,1,0
5,2,122,audi,two,sedan,fwd,front,99.8,0.2514982096841023,0.1955512634143823,-0.27235094003465626,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,15250.0,0,1,1,0
6,1,158,audi,four,sedan,fwd,front,105.8,1.501277561516205,2.6224229356428417,0.7898177261004283,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,17710.0,0,1,1,0
7,1,122,audi,four,wagon,fwd,front,105.8,1.501277561516205,2.6224229356428417,0.7898177261004283,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,18920.0,0,1,1,0
8,1,158,audi,four,sedan,fwd,front,105.8,1.501277561516205,2.6224229356428417,0.8715230081108176,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,11.75,23875.0,0,1,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2,0.21092095800124178,-0.5182345225351633,0.21788075202768845,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,16430.0,0,1,1,0
10,0,192,bmw,four,sedan,rwd,front,101.2,0.21092095800124178,-0.5182345225351633,0.21788075202768845,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,16925.0,0,1,1,0
11,0,188,bmw,two,sedan,rwd,front,101.2,0.21092095800124178,-0.5182345225351633,0.21788075202768845,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,20970.0,0,1,1,0
12,0,188,bmw,four,sedan,rwd,front,101.2,0.21092095800124178,-0.5182345225351633,0.21788075202768845,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,21105.0,0,1,1,0
13,1,122,bmw,four,sedan,rwd,front,103.5,1.201005899063038,0.4810655777942046,0.7898177261004283,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,9.4,24565.0,0,1,1,0
14,0,122,bmw,four,sedan,rwd,front,103.5,1.201005899063038,0.4810655777942046,0.7898177261004283,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,10.681818181818182,30760.0,0,1,1,0
15,0,122,bmw,two,sedan,rwd,front,103.5,1.5905475152185,0.956922768427235,-0.027235094003482462,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,10.681818181818182,41315.0,0,1,1,0
16,0,122,bmw,four,sedan,rwd,front,110.0,1.8502419259888065,2.3844943403263263,1.034933572131599,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,11.75,36880.0,0,1,1,0
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,-2.686294812155002,-2.6595918803838003,-0.23149829902946015,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,4.433962264150943,5151.0,0,1,1,0
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,-1.4852081623423292,-1.0892631512947977,-0.7217299910918078,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,5.465116279069767,6295.0,0,1,1,0
19,0,81,chevrolet,four,sedan,fwd,front,94.5,-1.2498601025817375,-1.0892631512947977,-0.7217299910918078,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,5.465116279069767,6575.0,0,1,1,0
20,1,118,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2119616831541553,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.351351351351352,5.7317073170731705,5572.0,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2119616831541553,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6377.0,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2119616831541553,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,7957.0,0,1,0,1
23,1,148,dodge,four,hatchback,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2936669651645447,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6229.0,0,1,1,0
24,1,148,dodge,four,sedan,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2936669651645447,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6692.0,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2936669651645447,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,7609.0,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,-1.3715918576303192,-0.9940917131681937,-1.2936669651645447,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,8558.0,0,1,0,1
27,-1,110,dodge,four,wagon,fwd,front,103.3,0.03238105059665401,-0.6134059606617708,2.464776007313443,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,9.791666666666666,7.833333333333333,8921.0,0,1,1,0
28,3,145,dodge,two,hatchback,fwd,front,95.9,-0.08123525411535595,0.1955512634143823,-1.4570775291853262,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,12.368421052631579,9.791666666666666,12964.0,0,1,0,1
29,2,137,honda,two,hatchback,fwd,front,86.6,-2.402254050374978,-0.94650599410489,-1.2119616831541553,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,4.795918367346939,4.351851851851852,6479.0,0,1,1,0
30,2,137,honda,two,hatchback,fwd,front,86.6,-2.402254050374978,-0.94650599410489,-1.2119616831541553,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.580645161290323,6.184210526315789,6855.0,0,1,1,0
31,1,101,honda,two,hatchback,fwd,front,93.7,-1.9640197322000839,-0.8989202750415862,-0.47661414506063393,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.184210526315789,5.595238095238095,5399.0,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,-1.9640197322000839,-0.8989202750415862,-0.47661414506063393,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,6529.0,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,-1.9640197322000839,-0.8989202750415862,-0.47661414506063393,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,7129.0,0,1,1,0
34,0,110,honda,four,sedan,fwd,front,96.5,-0.8765493870994211,-0.8989202750415862,0.29958603403808065,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,7295.0,0,1,1,0
35,0,78,honda,four,wagon,fwd,front,96.5,-1.3878227583034648,-0.94650599410489,1.85198639223551,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,7295.0,0,1,1,0
36,0,106,honda,two,hatchback,fwd,front,96.5,-0.5438159232999652,-0.32789164628194845,-0.19064565802426695,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,7895.0,0,1,1,0
